category_code,product_category,cn_codes,allocation,total_yearly_tonnes,mfn_part_tonnes,fta_part_tonnes,q3_jul_sep,q4_oct_dec,q1_jan_mar,q2_apr_jun,additional_duty_rate,order_number
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Türkiye,"642 294,94","321 749,25","320 545,69","160 573,74","160 573,74","160 573,74","160 573,74",50 %,09.9801
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Japan,"551 539,13","306 920,89","244 618,24","137 884,78","137 884,78","137 884,78","137 884,78",50 %,09.9802
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",India,"597 274,45","299 196,82","298 077,63","149 318,61","149 318,61","149 318,61","149 318,61",50 %,09.9803
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Taiwan,"278 922,56","278 922,56","0,00","69 730,64","69 730,64","69 730,64","69 730,64",50 %,09.9804
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Ukraine,"483 529,41","242 217,73","241 311,68","120 882,35","120 882,35","120 882,35","120 882,35",50 %,09.9805
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Korea,"461 830,10","231 347,74","230 482,35","115 457,52","115 457,52","115 457,52","115 457,52",50 %,09.9806
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Viet Nam,"414 972,31","230 924,09","184 048,22","103 743,08","103 743,08","103 743,08","103 743,08",50 %,09.9807
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Egypt,"404 928,86","202 843,81","202 085,04","101 232,21","101 232,21","101 232,21","101 232,21",50 %,09.9808
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Serbia,"258 094,60","143 624,67","114 469,93","64 523,65","64 523,65","64 523,65","64 523,65",50 %,09.9809
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",FTA Quota – CSQ,"483 682,26","0,00","483 682,26","120 920,56","120 920,56","120 920,56","120 920,56",50 %,09.9500
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Brazil,"170 051,00","78 289,80","91 761,20","42 512,75","42 512,75","42 512,75","42 512,75",50 %,09.9701
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",United Kingdom,"153 924,55","70 865,34","83 059,20","38 481,14","38 481,14","38 481,14","38 481,14",50 %,09.9705
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Indonesia,"127 337,84","58 625,08","68 712,75","31 834,46","31 834,46","31 834,46","31 834,46",50 %,09.9702
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Australia,"47 320,20","47 320,20","0,00","11 830,05","11 830,05","11 830,05","11 830,05",50 %,09.9810
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Saudi Arabia,"38 180,30","38 180,30","0,00","9 545,08","9 545,08","9 545,08","9 545,08",50 %,09.9811
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Switzerland,"21 889,99","10 077,93","11 812,05","5 472,50","5 472,50","5 472,50","5 472,50",50 %,09.9704
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Kazakhstan,"9 510,68","9 510,68","0,00","2 377,67","2 377,67","2 377,67","2 377,67",50 %,09.9812
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",North Macedonia,"14 127,65","6 504,23","7 623,42","3 531,91","3 531,91","3 531,91","3 531,91",50 %,09.9703
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",Other countries,"22 256,02","22 256,02","0,00","5 564,01","5 564,01","5 564,01","5 564,01",50 %,09.9600
1.A,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,"7208 10 00, 7208 25 00, 7208 26 00, 7208 27 00, 7208 36 00, 7208 37 00, 7208 38 00, 7208 39 00, 7208 40 00, 7208 52 10, 7208 52 99, 7208 53 10, 7208 53 90, 7208 54 00, 7211 13 00, 7211 14 00, 7211 19 00, 7225 19 10, 7225 30 10, 7225 30 30, 7225 30 90, 7225 40 15, 7225 40 90, 7226 19 10, 7226 91 20, 7226 91 91, 7226 91 99",FTA Quota – Other countries,"17 087,49","0,00","17 087,49","4 271,87","4 271,87","4 271,87","4 271,87",50 %,09.9700
1.B,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,7212 60 00,United Kingdom,"2 104,13","959,81","1 144,32","526,03","526,03","526,03","526,03",50 %,09.9813
1.B,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,7212 60 00,United States,"509,37","509,37","0,00","127,34","127,34","127,34","127,34",50 %,09.9814
1.B,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,7212 60 00,Japan,"975,71","499,39","476,32","243,93","243,93","243,93","243,93",50 %,09.9815
1.B,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,7212 60 00,China,"142,36","142,36","0,00","35,59","35,59","35,59","35,59",50 %,09.9816
1.B,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,7212 60 00,FTA Quota – CSQ,"426,09","0,00","426,09","106,52","106,52","106,52","106,52",50 %,09.9501
1.B,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,7212 60 00,Other countries,"179,56","179,56","0,00","44,89","44,89","44,89","44,89",50 %,09.9601
1.B,Non Alloy and Other Alloy Hot Rolled Sheets and Strips,7212 60 00,FTA Quota – Other countries,"243,78","0,00","243,78","60,94","60,94","60,94","60,94",50 %,09.9706
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Taiwan,"134 346,16","134 346,16","0,00","33 586,54","33 586,54","33 586,54","33 586,54",50 %,09.9817
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",India,"269 974,33","125 581,16","144 393,17","67 493,58","67 493,58","67 493,58","67 493,58",50 %,09.9818
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Korea,"254 610,70","118 434,62","136 176,08","63 652,67","63 652,67","63 652,67","63 652,67",50 %,09.9819
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Türkiye,"240 611,63","111 922,82","128 688,82","60 152,91","60 152,91","60 152,91","60 152,91",50 %,09.9820
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",United Kingdom,"79 338,51","79 338,51","0,00","19 834,63","19 834,63","19 834,63","19 834,63",50 %,09.9821
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Japan,"117 831,23","61 375,56","56 455,68","29 457,81","29 457,81","29 457,81","29 457,81",50 %,09.9822
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Ukraine,"106 197,91","41 644,98","64 552,93","26 549,48","26 549,48","26 549,48","26 549,48",50 %,09.9823
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",FTA Quota – CSQ,"134 682,43","0,00","134 682,43","33 670,61","33 670,61","33 670,61","33 670,61",50 %,09.9502
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Other countries,"99 735,70","99 735,70","0,00","24 933,92","24 933,92","24 933,92","24 933,92",50 %,09.9602
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",FTA Quota – Other countries,"85 134,42","0,00","85 134,42","21 283,60","21 283,60","21 283,60","21 283,60",50 %,09.9707
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Egypt,"5 178,15","0,00","5 178,15","1 294,54","1 294,54","1 294,54","1 294,54",50 %,09.9709
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Switzerland,"2 982,59","0,00","2 982,59","745,65","745,65","745,65","745,65",50 %,09.9710
2,Non Alloy and Other Alloy Cold Rolled Sheets,"7209 15 00, 7209 16 90, 7209 17 90, 7209 18 91, 7209 25 00, 7209 26 90, 7209 27 90, 7209 28 90, 7209 90 20, 7209 90 80, 7211 23 20, 7211 23 30, 7211 23 80, 7211 29 00, 7211 90 20, 7211 90 80, 7225 50 20, 7225 50 80, 7226 20 00, 7226 92 00",Brazil,"14 135,26","0,00","14 135,26","3 533,82","3 533,82","3 533,82","3 533,82",50 %,09.9708
3.A,Electrical Sheets (other than GOES),"7209 16 10, 7209 17 10, 7209 18 10, 7209 26 10, 7209 27 10, 7209 28 10",Japan,"311,80","160,70","151,10","77,95","77,95","77,95","77,95",50 %,09.9824
3.A,Electrical Sheets (other than GOES),"7209 16 10, 7209 17 10, 7209 18 10, 7209 26 10, 7209 27 10, 7209 28 10",United Kingdom,"78,25","78,25","0,00","19,56","19,56","19,56","19,56",50 %,09.9825
3.A,Electrical Sheets (other than GOES),"7209 16 10, 7209 17 10, 7209 18 10, 7209 26 10, 7209 27 10, 7209 28 10",China,"19,91","19,91","0,00","4,98","4,98","4,98","4,98",50 %,09.9826
3.A,Electrical Sheets (other than GOES),"7209 16 10, 7209 17 10, 7209 18 10, 7209 26 10, 7209 27 10, 7209 28 10",Türkiye,"34,78","17,92","16,85","8,69","8,69","8,69","8,69",50 %,09.9827
3.A,Electrical Sheets (other than GOES),"7209 16 10, 7209 17 10, 7209 18 10, 7209 26 10, 7209 27 10, 7209 28 10",FTA Quota – CSQ,"116,20","0,00","116,20","29,05","29,05","29,05","29,05",50 %,09.9503
3.A,Electrical Sheets (other than GOES),"7209 16 10, 7209 17 10, 7209 18 10, 7209 26 10, 7209 27 10, 7209 28 10",Other countries,"29,08","29,08","0,00","7,27","7,27","7,27","7,27",50 %,09.9603
3.A,Electrical Sheets (other than GOES),"7209 16 10, 7209 17 10, 7209 18 10, 7209 26 10, 7209 27 10, 7209 28 10",FTA Quota – Other countries,"21,71","0,00","21,71","5,43","5,43","5,43","5,43",50 %,09.9711
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",China,"47 351,25","47 351,25","0,00","11 837,81","11 837,81","11 837,81","11 837,81",50 %,09.9828
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",Taiwan,"20 666,63","20 666,63","0,00","5 166,66","5 166,66","5 166,66","5 166,66",50 %,09.9829
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",Korea,"61 981,54","16 811,18","45 170,36","15 495,38","15 495,38","15 495,38","15 495,38",50 %,09.9830
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",Viet Nam,"27 701,55","8 795,43","18 906,12","6 925,39","6 925,39","6 925,39","6 925,39",50 %,09.9831
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",FTA Quota – CSQ,"16 868,24","0,00","16 868,24","4 217,06","4 217,06","4 217,06","4 217,06",50 %,09.9504
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",Other countries,"5 915,02","5 915,02","0,00","1 478,75","1 478,75","1 478,75","1 478,75",50 %,09.9604
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",FTA Quota – Other countries,"16 378,22","0,00","16 378,22","4 094,55","4 094,55","4 094,55","4 094,55",50 %,09.9712
3.B,Electrical Sheets (other than GOES),"7225 19 90, 7226 19 80",Japan,"2 216,56","0,00","2 216,56","554,14","554,14","554,14","554,14",50 %,09.9713
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",Viet Nam,"469 987,67","254 098,09","215 889,58","117 496,92","117 496,92","117 496,92","117 496,92",50 %,09.9832
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",Taiwan,"135 133,55","135 133,55","0,00","33 783,39","33 783,39","33 783,39","33 783,39",50 %,09.9833
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",Türkiye,"255 701,32","124 004,14","131 697,18","63 925,33","63 925,33","63 925,33","63 925,33",50 %,09.9834
