category_code,product_category,cn_codes,allocation,total_yearly_tonnes,mfn_part_tonnes,fta_part_tonnes,q3_jul_sep,q4_oct_dec,q1_jan_mar,q2_apr_jun,additional_duty_rate,order_number
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Korea,"101 884,16","39 565,05","62 319,11","25 471,04","25 471,04","25 471,04","25 471,04",50 %,09.9869
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Türkiye,"69 038,16","26 809,84","42 228,32","17 259,54","17 259,54","17 259,54","17 259,54",50 %,09.9870
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",South Africa,"52 606,57","20 428,90","32 177,67","13 151,64","13 151,64","13 151,64","13 151,64",50 %,09.9871
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Viet Nam,"43 853,32","19 403,40","24 449,92","10 963,33","10 963,33","10 963,33","10 963,33",50 %,09.9872
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",India,"38 053,78","14 777,56","23 276,22","9 513,44","9 513,44","9 513,44","9 513,44",50 %,09.9873
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",FTA Quota – CSQ,"39 741,37","0,00","39 741,37","9 935,34","9 935,34","9 935,34","9 935,34",50 %,09.9511
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Other countries,"33 770,28","33 770,28","0,00","8 442,57","8 442,57","8 442,57","8 442,57",50 %,09.9611
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",FTA Quota – Other countries,"22 217,01","0,00","22 217,01","5 554,25","5 554,25","5 554,25","5 554,25",50 %,09.9730
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Switzerland,"1 636,18","0,00","1 636,18","409,05","409,05","409,05","409,05",50 %,09.9731
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",United Kingdom (to Northern Ireland from other parts of the United Kingdom),"125,08","0,00","125,08","31,27","31,27","31,27","31,27",50 %,09.9493
10,Stainless Hot Rolled Quarto Plates,"7219 21 10, 7219 21 90",China,"3 713,95","3 713,95","0,00","928,49","928,49","928,49","928,49",50 %,09.9874
10,Stainless Hot Rolled Quarto Plates,"7219 21 10, 7219 21 90",India,"5 988,10","2 217,56","3 770,55","1 497,03","1 497,03","1 497,03","1 497,03",50 %,09.9875
10,Stainless Hot Rolled Quarto Plates,"7219 21 10, 7219 21 90",Korea,"2 060,80","763,17","1 297,63","515,20","515,20","515,20","515,20",50 %,09.9876
10,Stainless Hot Rolled Quarto Plates,"7219 21 10, 7219 21 90",South Africa,"1 977,79","732,43","1 245,36","494,45","494,45","494,45","494,45",50 %,09.9877
10,Stainless Hot Rolled Quarto Plates,"7219 21 10, 7219 21 90",FTA Quota – CSQ,"1 114,15","0,00","1 114,15","278,54","278,54","278,54","278,54",50 %,09.9512
10,Stainless Hot Rolled Quarto Plates,"7219 21 10, 7219 21 90",Other countries,"1 085,51","1 085,51","0,00","271,38","271,38","271,38","271,38",50 %,09.9612
10,Stainless Hot Rolled Quarto Plates,"7219 21 10, 7219 21 90",FTA Quota – Other countries,"1 084,93","0,00","1 084,93","271,23","271,23","271,23","271,23",50 %,09.9732
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",China,"157 936,73","157 936,73","0,00","39 484,18","39 484,18","39 484,18","39 484,18",50 %,09.9878
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",Türkiye,"241 982,29","102 862,73","139 119,56","60 495,57","60 495,57","60 495,57","60 495,57",50 %,09.9879
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",United Kingdom,"104 391,56","44 375,15","60 016,41","26 097,89","26 097,89","26 097,89","26 097,89",50 %,09.9880
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",Switzerland,"97 441,25","41 420,69","56 020,56","24 360,31","24 360,31","24 360,31","24 360,31",50 %,09.9881
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",Korea,"56 172,46","23 878,00","32 294,46","14 043,12","14 043,12","14 043,12","14 043,12",50 %,09.9882
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",North Macedonia,"54 470,32","23 154,45","31 315,88","13 617,58","13 617,58","13 617,58","13 617,58",50 %,09.9883
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",FTA Quota – CSQ,"56 252,98","0,00","56 252,98","14 063,24","14 063,24","14 063,24","14 063,24",50 %,09.9513
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",Other countries,"47 239,62","47 239,62","0,00","11 809,90","11 809,90","11 809,90","11 809,90",50 %,09.9613
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",FTA Quota – Other countries,"43 451,82","0,00","43 451,82","10 862,95","10 862,95","10 862,95","10 862,95",50 %,09.9733
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",Brazil,"12 185,05","0,00","12 185,05","3 046,26","3 046,26","3 046,26","3 046,26",50 %,09.9734
12,Non Alloy and Other Alloy Merchant Bars and Light Sections,"7214 30 00, 7214 91 10, 7214 91 90, 7214 99 31, 7214 99 39, 7214 99 50, 7214 99 71, 7214 99 79, 7214 99 95, 7215 90 00, 7216 10 00, 7216 21 00, 7216 22 00, 7216 40 10, 7216 40 90, 7216 50 10, 7216 50 91, 7216 50 99, 7216 99 00, 7228 10 20, 7228 20 10, 7228 20 91, 7228 30 20, 7228 30 41, 7228 30 49, 7228 30 61, 7228 30 70, 7228 30 89, 7228 60 20, 7228 60 80, 7228 70 10, 7228 70 90, 7228 80 00 TARIC code: 7228 30 69 99",Egypt,"10 210,65","0,00","10 210,65","2 552,66","2 552,66","2 552,66","2 552,66",50 %,09.9735
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",Türkiye,"239 676,09","109 506,39","130 169,70","59 919,02","59 919,02","59 919,02","59 919,02",50 %,09.9884
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",Egypt,"144 367,80","65 960,67","78 407,13","36 091,95","36 091,95","36 091,95","36 091,95",50 %,09.9885
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",Algeria,"63 761,42","63 761,42","0,00","15 940,36","15 940,36","15 940,36","15 940,36",50 %,09.9886
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",Moldova,"39 719,11","20 358,79","19 360,32","9 929,78","9 929,78","9 929,78","9 929,78",50 %,09.9887
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",China,"20 216,13","20 216,13","0,00","5 054,03","5 054,03","5 054,03","5 054,03",50 %,09.9888
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",Ukraine,"67 710,16","19 599,65","48 110,50","16 927,54","16 927,54","16 927,54","16 927,54",50 %,09.9889
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",FTA Quota – CSQ,"158 803,37","0,00","158 803,37","39 700,84","39 700,84","39 700,84","39 700,84",50 %,09.9514
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",Other countries,"63 322,34","63 322,34","0,00","15 830,59","15 830,59","15 830,59","15 830,59",50 %,09.9614
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",FTA Quota – Other countries,"38 299,23","0,00","38 299,23","9 574,81","9 574,81","9 574,81","9 574,81",50 %,09.9736
13,Rebars,"7214 20 00, 7214 99 10 TARIC code: 7228 30 69 11",United Kingdom (to Northern Ireland from other parts of the United Kingdom),"8 649,90","0,00","8 649,90","2 162,48","2 162,48","2 162,48","2 162,48",50 %,09.9494
14,Stainless Bars and Light Sections,"7222 11 11, 7222 11 19, 7222 11 81, 7222 11 89, 7222 19 10, 7222 19 90, 7222 20 11, 7222 20 19, 7222 20 21, 7222 20 29, 7222 20 31, 7222 20 39, 7222 20 81, 7222 20 89, 7222 30 51, 7222 30 91, 7222 30 97, 7222 40 10, 7222 40 50, 7222 40 90",India,"92 556,79","47 409,21","45 147,58","23 139,20","23 139,20","23 139,20","23 139,20",50 %,09.9890
14,Stainless Bars and Light Sections,"7222 11 11, 7222 11 19, 7222 11 81, 7222 11 89, 7222 19 10, 7222 19 90, 7222 20 11, 7222 20 19, 7222 20 21, 7222 20 29, 7222 20 31, 7222 20 39, 7222 20 81, 7222 20 89, 7222 30 51, 7222 30 91, 7222 30 97, 7222 40 10, 7222 40 50, 7222 40 90",Switzerland,"10 786,07","5 524,81","5 261,26","2 696,52","2 696,52","2 696,52","2 696,52",50 %,09.9891
14,Stainless Bars and Light Sections,"7222 11 11, 7222 11 19, 7222 11 81, 7222 11 89, 7222 19 10, 7222 19 90, 7222 20 11, 7222 20 19, 7222 20 21, 7222 20 29, 7222 20 31, 7222 20 39, 7222 20 81, 7222 20 89, 7222 30 51, 7222 30 91, 7222 30 97, 7222 40 10, 7222 40 50, 7222 40 90",United Kingdom,"8 116,93","4 157,63","3 959,30","2 029,23","2 029,23","2 029,23","2 029,23",50 %,09.9892
14,Stainless Bars and Light Sections,"7222 11 11, 7222 11 19, 7222 11 81, 7222 11 89, 7222 19 10, 7222 19 90, 7222 20 11, 7222 20 19, 7222 20 21, 7222 20 29, 7222 20 31, 7222 20 39, 7222 20 81, 7222 20 89, 7222 30 51, 7222 30 91, 7222 30 97, 7222 40 10, 7222 40 50, 7222 40 90",China,"3 585,40","3 585,40","0,00","896,35","896,35","896,35","896,35",50 %,09.9893
14,Stainless Bars and Light Sections,"7222 11 11, 7222 11 19, 7222 11 81, 7222 11 89, 7222 19 10, 7222 19 90, 7222 20 11, 7222 20 19, 7222 20 21, 7222 20 29, 7222 20 31, 7222 20 39, 7222 20 81, 7222 20 89, 7222 30 51, 7222 30 91, 7222 30 97, 7222 40 10, 7222 40 50, 7222 40 90",FTA Quota – CSQ,"9 594,38","0,00","9 594,38","2 398,59","2 398,59","2 398,59","2 398,59",50 %,09.9515
14,Stainless Bars and Light Sections,"7222 11 11, 7222 11 19, 7222 11 81, 7222 11 89, 7222 19 10, 7222 19 90, 7222 20 11, 7222 20 19, 7222 20 21, 7222 20 29, 7222 20 31, 7222 20 39, 7222 20 81, 7222 20 89, 7222 30 51, 7222 30 91, 7222 30 97, 7222 40 10, 7222 40 50, 7222 40 90",Other countries,"6 120,33","6 120,33","0,00","1 530,08","1 530,08","1 530,08","1 530,08",50 %,09.9615
14,Stainless Bars and Light Sections,"7222 11 11, 7222 11 19, 7222 11 81, 7222 11 89, 7222 19 10, 7222 19 90, 7222 20 11, 7222 20 19, 7222 20 21, 7222 20 29, 7222 20 31, 7222 20 39, 7222 20 81, 7222 20 89, 7222 30 51, 7222 30 91, 7222 30 97, 7222 40 10, 7222 40 50, 7222 40 90",FTA Quota – Other countries,"2 834,88","0,00","2 834,88","708,72","708,72","708,72","708,72",50 %,09.9737
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",India,"18 772,33","8 550,77","10 221,56","4 693,08","4 693,08","4 693,08","4 693,08",50 %,09.9894
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",Taiwan,"4 304,92","4 304,92","0,00","1 076,23","1 076,23","1 076,23","1 076,23",50 %,09.9895
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",Korea,"5 212,43","2 374,25","2 838,17","1 303,11","1 303,11","1 303,11","1 303,11",50 %,09.9896
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",United Kingdom,"3 994,06","1 819,29","2 174,77","998,52","998,52","998,52","998,52",50 %,09.9897
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",China,"1 374,13","1 374,13","0,00","343,53","343,53","343,53","343,53",50 %,09.9898
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",Japan,"2 400,02","1 226,81","1 173,21","600,00","600,00","600,00","600,00",50 %,09.9899
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",FTA Quota – CSQ,"3 240,54","0,00","3 240,54","810,14","810,14","810,14","810,14",50 %,09.9516
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",Other countries,"580,83","580,83","0,00","145,21","145,21","145,21","145,21",50 %,09.9616
15,Stainless Wire Rod,"7221 00 10, 7221 00 90",FTA Quota – Other countries,"582,75","0,00","582,75","145,69","145,69","145,69","145,69",50 %,09.9738
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Türkiye,"244 589,00","117 765,76","126 823,24","61 147,25","61 147,25","61 147,25","61 147,25",50 %,09.9900
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Malaysia,"86 683,40","86 683,40","0,00","21 670,85","21 670,85","21 670,85","21 670,85",50 %,09.9901
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",United Kingdom,"175 399,53","84 452,12","90 947,41","43 849,88","43 849,88","43 849,88","43 849,88",50 %,09.9902
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Ukraine,"189 145,02","78 410,08","110 734,94","47 286,26","47 286,26","47 286,26","47 286,26",50 %,09.9903
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Switzerland,"162 195,34","78 094,51","84 100,83","40 548,83","40 548,83","40 548,83","40 548,83",50 %,09.9904
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Viet Nam,"97 086,65","52 154,26","44 932,39","24 271,66","24 271,66","24 271,66","24 271,66",50 %,09.9905
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Moldova,"95 839,25","51 484,16","44 355,09","23 959,81","23 959,81","23 959,81","23 959,81",50 %,09.9906
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Egypt,"86 714,89","41 751,86","44 963,03","21 678,72","21 678,72","21 678,72","21 678,72",50 %,09.9907
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",FTA Quota – CSQ,"122 881,38","0,00","122 881,38","30 720,34","30 720,34","30 720,34","30 720,34",50 %,09.9517
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Other countries,"153 927,34","153 927,34","0,00","38 481,84","38 481,84","38 481,84","38 481,84",50 %,09.9617
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",FTA Quota – Other countries,"138 440,96","0,00","138 440,96","34 610,24","34 610,24","34 610,24","34 610,24",50 %,09.9739
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Korea,"11 334,76","0,00","11 334,76","2 833,69","2 833,69","2 833,69","2 833,69",50 %,09.9740
16,Non Alloy and Other Alloy Wire Rod,"7213 10 00, 7213 20 00, 7213 91 10, 7213 91 20, 7213 91 41, 7213 91 49, 7213 91 70, 7213 91 90, 7213 99 10, 7213 99 90, 7227 10 00, 7227 20 00, 7227 90 10, 7227 90 50, 7227 90 95",Japan,"5 293,99","0,00","5 293,99","1 323,50","1 323,50","1 323,50","1 323,50",50 %,09.9741
